task_id,model,facet,model_answer,score
hard_helmholtz_high_frequency_020,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to solve the frequency-domain Helmholtz equation ∇²u + k²u = f in a bounded 2D domain Ω, with prescribed boundary conditions (e.g., Dirichlet, Neumann, or Robin) and known source term f. The wave number k is high, leading to highly oscillatory solutions. The domain geometry and specific boundary condition type are not specified, which affects the choice of sampling and loss weighting. The solution u is complex-valued in general.",4
hard_helmholtz_high_frequency_020,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The model must satisfy the Helmholtz PDE at collocation points in Ω, and the boundary conditions on ∂Ω. For high k, the solution oscillates with wavelength ~2π/k, requiring dense sampling to resolve. The loss function should include a PDE residual term (real and imaginary parts) and a boundary condition term. Additional constraints may include continuity of u and its normal derivative across internal interfaces if the domain is heterogeneous, but no such heterogeneity is specified.",4
hard_helmholtz_high_frequency_020,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) with a Fourier feature embedding or a multi-scale architecture (e.g., SIREN or random Fourier features) is appropriate to capture high-frequency oscillations. The network should output real and imaginary parts of u. Alternatively, a separable PINN or a network with adaptive activation functions can help. The choice is justified by the need to handle oscillatory solutions without excessive collocation points, though spectral methods may struggle with complex geometries. The model must be complex-valued or split into two outputs.",5
hard_helmholtz_high_frequency_020,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Use a large number of collocation points (e.g., 10^5–10^6) sampled adaptively or via a uniform grid with refinement near boundaries. The loss is a weighted sum of PDE residual (L2 norm of ∇²u + k²u - f) and boundary condition error. For high k, use a learning rate schedule with warm-up and cosine decay, and consider curriculum learning (start with low k, increase gradually). Optimize with Adam followed by L-BFGS. Use gradient clipping and possibly a causal training approach to enforce boundary conditions first. Validation metrics include relative L2 error on a held-out set of analytical or numerical reference solutions.",4
hard_helmholtz_high_frequency_020,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Key risks: (1) Spectral bias: PINNs fail to learn high-frequency modes, leading to trivial solutions. Mitigate with Fourier features or multi-scale networks. (2) Imbalanced loss: PDE residual may dominate boundary loss, causing boundary condition violation. Use adaptive loss weighting (e.g., NTK-based or gradient normalization). (3) Overfitting to collocation points: Use regularization or increase point count. (4) Non-uniqueness: Helmholtz equation may have multiple solutions at resonant frequencies; ensure boundary conditions are sufficient to guarantee uniqueness. (5) Computational cost: High k requires many points and large networks, risking memory and time constraints. Use mini-batching or domain decomposition.",4
hard_plus_helmholtz_staircase_021,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is a frequency-domain Helmholtz equation ∇²u + k²u = f in a 2D staircase-shaped domain Ω, with known source term f and boundary conditions (Dirichlet, Neumann, or mixed, unspecified). The solution u is highly oscillatory due to large wavenumber k, and the geometry has sharp corners and nontrivial boundaries. The task is to solve for u in Ω. Missing details: exact boundary condition types, wavenumber k value, source term f specifics, and domain dimensions. These affect the loss formulation and sampling strategy.",4
hard_plus_helmholtz_staircase_021,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The PDE residual ∇²u + k²u - f = 0 must be enforced in Ω. Boundary conditions (e.g., u = g on Γ_D, ∂u/∂n = h on Γ_N) must be imposed on respective boundaries. Sharp corners introduce singularities in the solution gradient, requiring careful treatment (e.g., adaptive weighting or corner refinement). The high wavenumber k leads to oscillatory solutions, necessitating dense collocation points or frequency-aware sampling to resolve wavelengths.",4
hard_plus_helmholtz_staircase_021,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A standard PINN (fully connected neural network with tanh activations) is insufficient due to spectral bias (failure to learn high frequencies) and difficulty with sharp corners. Instead, use a modified architecture: (a) Fourier feature mapping or sinusoidal representation networks (SIREN) to capture high-frequency oscillations; (b) multi-scale or adaptive activation functions; (c) domain decomposition (e.g., XPINN) to handle staircase geometry and corners. Alternatively, a physics-informed neural network with hard constraints (e.g., output transformation to enforce BCs) may improve accuracy.",5
hard_plus_helmholtz_staircase_021,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Use a combined loss: L = λ_PDE * L_PDE + λ_BC * L_BC + λ_data * L_data (if data available). Sample collocation points adaptively: dense near corners and boundaries, and at least 10-20 points per wavelength in the interior. Use a two-stage training: first, pre-train with low-frequency components (e.g., using a coarse grid or lower k) to capture global features; then fine-tune with full k. Optimize with Adam (initial) then L-BFGS. Apply learning rate scheduling and gradient clipping to stabilize training. For sharp corners, add a weighted loss term to penalize residuals near singularities.",4
hard_plus_helmholtz_staircase_021,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"High-frequency oscillations may cause mode collapse or convergence to trivial solutions. Sharp corners introduce singularities that PINNs may smooth out, leading to large errors near corners. The staircase geometry may cause spectral bias towards low frequencies, missing high-wavenumber details. Overfitting to collocation points if sampling is insufficient. Validation metrics: relative L2 error on a fine grid, pointwise error at corners, and residual norm. Mitigation: use Fourier features, adaptive sampling, and domain decomposition; if errors persist, consider hybrid methods (e.g., PINN + FEM).",4
hard_plus_acoustic_scattering_maze_022,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to model time-harmonic acoustic wave scattering in a 2D domain with complex internal obstacles (maze-like). The incident wave is known, material properties (density, sound speed) and boundary descriptions (e.g., rigid walls, impedance conditions) are available. The scattered field satisfies the Helmholtz equation: ∇²p + k²p = 0, where k = ω/c is the wavenumber, with Sommerfeld radiation condition at infinity (or absorbing boundary condition for finite domain). The total field p_total = p_inc + p_scat. The geometry is complex, requiring discretization that resolves fine features. Missing: exact incident wave parameters (frequency, direction), specific boundary condition types (Dirichlet, Neumann, impedance) for each wall segment, and material property values. These must be specified to define the problem fully.",5
hard_plus_acoustic_scattering_maze_022,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The Helmholtz equation must be satisfied in the domain. Boundary conditions: on rigid walls, normal particle velocity zero → ∂p/∂n = 0 (Neumann); on absorbing boundaries, impedance condition: ∂p/∂n = i k β p, with β related to wall admittance. At infinity, Sommerfeld radiation condition: lim_{r→∞} r^(1/2)(∂p_scat/∂r - i k p_scat)=0. For finite domain, use perfectly matched layer (PML) or absorbing boundary condition (ABC). The scattered field must be outgoing. Material properties (density ρ, sound speed c) may be piecewise constant; if inhomogeneous, the Helmholtz equation becomes ∇·(1/ρ ∇p) + (ω²/(ρ c²)) p = 0. Missing: exact values of ρ, c, and boundary impedance parameters. These are needed to set up the loss function.",5
hard_plus_acoustic_scattering_maze_022,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is chosen because it can handle complex geometries without mesh generation, and can incorporate boundary conditions and the Helmholtz equation directly. Use a multi-network approach: one network for the scattered field p_scat(x,y) (complex-valued, split into real and imaginary parts), or a single network with complex output. The incident field is known analytically. The loss includes: (1) PDE residual: |∇²p_total + k²p_total|² over collocation points in domain; (2) boundary condition residuals on each wall segment; (3) radiation condition enforced via PML or ABC loss in a buffer zone. For complex geometry, use adaptive sampling (e.g., importance sampling near corners and edges) and hard constraints for Dirichlet boundaries if possible. Alternative: Fourier neural operator or finite element method, but PINN is more flexible for irregular geometry and scattered data. Missing: incident wave parameters affect the loss weighting; if unknown, treat as learnable parameters.",4
hard_plus_acoustic_scattering_maze_022,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Use a fully connected neural network with 4-8 hidden layers, 50-100 neurons per layer, and sinusoidal activation functions (e.g., SIREN) for high-frequency wave solutions. Loss function: L = λ_pde * L_pde + λ_bc * L_bc + λ_rad * L_rad. L_pde: mean squared error of Helmholtz residual over collocation points (10^4-10^5 points, sampled uniformly and adaptively near boundaries). L_bc: MSE of boundary condition violations on sampled boundary points (10^3-10^4 points per boundary segment). L_rad: MSE of ABC or PML condition in a buffer zone (e.g., 2-3 wavelengths thick). Use Adam optimizer with learning rate 1e-3, then L-BFGS for fine-tuning. Train in stages: first on low-frequency components (if multi-frequency), then increase frequency. Use curriculum learning: start with simple geometry (e.g., no obstacles) and gradually add complexity. Missing: incident wave frequency and direction affect the required network capacity and sampling density; if not provided, assume a range and train for multiple frequencies.",4
hard_plus_acoustic_scattering_maze_022,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Key risks: (1) Spectral bias: PINNs may fail to capture high-frequency oscillations if the wavenumber is large; use Fourier feature embeddings or multi-scale architectures. (2) Complex geometry: sharp corners cause singularities in the solution, leading to high residuals; adaptive sampling and loss weighting are needed. (3) Boundary condition mismatch: if boundary types are not precisely known, the model may fit incorrect physics; sensitivity analysis required. (4) Radiation condition: improper ABC/PML implementation can cause spurious reflections; validate by comparing with analytical solutions for simple geometries (e.g., scattering from a cylinder). (5) Overfitting to collocation points: use regularization (e.g., weight decay) and monitor validation on a separate set of points. (6) Computational cost: high-resolution geometry requires many collocation points; use domain decomposition or parallel training. Missing: experimental data for validation; if unavailable, use numerical simulations (e.g., finite element) as reference.",4
hard_plus_euler_shock_023,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to model a compressible inviscid flow governed by the Euler equations in one or more spatial dimensions, with piecewise constant initial states that lead to shock waves and contact discontinuities. The Euler equations are a system of hyperbolic conservation laws for mass, momentum, and energy. The domain, boundary conditions, and specific initial conditions (e.g., Riemann problem setup) are not specified. The workflow must handle discontinuous solutions without relying solely on pointwise smooth residual fitting, implying the need for weak formulation or shock-capturing techniques.",4
hard_plus_euler_shock_023,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The model must enforce conservation of mass, momentum, and energy. The Euler equations are hyperbolic, so the solution must satisfy the Rankine-Hugoniot jump conditions across discontinuities. Entropy conditions must be respected to select physically admissible shocks. Boundary conditions (e.g., inflow/outflow, wall) and initial conditions (e.g., left and right states) are missing; their specification is required for a well-posed problem. The absence of these details means the workflow must be adaptable to typical Riemann problem setups.",5
hard_plus_euler_shock_023,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) with a conservative formulation is chosen, but standard PINNs fail at shocks due to pointwise residual minimization. Instead, a weak-form PINN (e.g., using the integral form of conservation laws) or a neural network with a shock-capturing scheme (e.g., adding artificial viscosity or using a finite volume-based loss) is appropriate. Alternatively, a neural network that outputs the solution in terms of a Riemann solver (e.g., using a learned flux function) can handle discontinuities. The model should be a feedforward network with sufficient capacity, and the loss should incorporate the integral form of the Euler equations over control volumes to respect conservation laws.",5
hard_plus_euler_shock_023,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Training uses a loss function that combines: (1) conservation loss based on the integral form of the Euler equations over randomly sampled control volumes, (2) initial condition loss from the piecewise constant states, (3) boundary condition loss (if specified), and (4) entropy condition loss (e.g., enforcing that the entropy production is non-negative). Sampling should be adaptive, with more points near discontinuities (e.g., using a shock-detection criterion). Optimization uses Adam initially, then L-BFGS for fine-tuning. A shock-capturing term (e.g., artificial viscosity) can be added to the PDE residual to smooth gradients during training. Validation metrics include L1 error on density, velocity, and pressure, and checking the Rankine-Hugoniot conditions at detected shocks.",5
hard_plus_euler_shock_023,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Key risks: (1) The model may produce smeared shocks or incorrect shock speeds due to insufficient resolution or poor loss weighting. (2) The integral loss may be computationally expensive and require careful control volume sampling. (3) The entropy condition may be violated, leading to expansion shocks. (4) Overfitting to initial/boundary conditions if data is sparse. (5) The model may fail to capture contact discontinuities accurately because they are linearly degenerate. (6) Missing boundary conditions or geometry details can lead to ill-posed training. Mitigation: use adaptive sampling, entropy-based regularization, and validate against exact Riemann solutions.",5
hard_plus_rayleigh_benard_024,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"We consider 2D Rayleigh-Benard convection in a rectangular domain with no-slip, impermeable boundaries at top and bottom, and periodic or no-slip sidewalls (not specified). The bottom boundary is at constant high temperature T_hot, top at constant low temperature T_cold. The fluid is incompressible with Boussinesq approximation: density variations only in buoyancy term. Unknown fields: velocity u=(u,v), pressure p, temperature T. Governing equations: continuity ∇·u=0, momentum ∂u/∂t + u·∇u = -∇p + ν∇²u + βg(T-T_ref) e_y, energy ∂T/∂t + u·∇T = α∇²T. Missing: domain aspect ratio, Rayleigh number Ra = gβΔT H³/(να), Prandtl number Pr = ν/α, initial conditions, and whether sidewalls are periodic or no-slip. These affect flow regime (steady rolls vs. chaotic) and required resolution.",4
hard_plus_rayleigh_benard_024,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"Incompressibility (∇·u=0) must be enforced exactly or via penalty. Boussinesq approximation: density constant except in buoyancy term. Boundary conditions: u=v=0 at top/bottom; T=T_hot at bottom, T=T_cold at top. Sidewall conditions unspecified; if periodic, enforce periodicity; if no-slip, enforce u=v=0 and adiabatic or fixed T (not given). Energy equation must conserve heat flux in steady state. No-slip implies boundary layers for velocity and temperature, requiring high resolution near walls.",4
hard_plus_rayleigh_benard_024,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) with separate outputs for u, v, p, T is suitable because it can incorporate PDE residuals, boundary conditions, and incompressibility as soft constraints. Alternatively, a Fourier Neural Operator (FNO) could be used if abundant simulation data exist, but here no data are provided, so PINN is preferred. The PINN loss includes: (1) PDE residuals for continuity, momentum (x and y), and energy; (2) boundary condition losses for u, v, T at top/bottom; (3) initial condition loss if transient; (4) optional divergence-free penalty via automatic differentiation. Use a fully connected network with 8-10 hidden layers, 128-256 neurons, and sin or tanh activations. For high Ra, add adaptive sampling or domain decomposition to resolve boundary layers.",4
hard_plus_rayleigh_benard_024,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Use Adam optimizer initially (10^5 iterations) then L-BFGS for fine-tuning. Sample collocation points: 10^4-10^5 interior points, plus boundary points (500-1000 per boundary). Use importance sampling or residual-based adaptive refinement to concentrate points near boundaries and plumes. Loss weights: start with equal weights, then adjust via gradient statistics or NTK. For transient simulation, use time-marching or space-time PINN. If Ra is high (>10^6), consider curriculum learning (increase Ra gradually) or use a pretrained model for lower Ra. Monitor loss components and ensure they decrease to O(10^-5) or lower.",4
hard_plus_rayleigh_benard_024,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Risk 1: Failure to resolve thin thermal and viscous boundary layers, leading to inaccurate Nusselt number. Mitigation: adaptive sampling or domain decomposition. Risk 2: Soft incompressibility constraint may allow small divergence, causing unphysical flow. Mitigation: use hard constraint via streamfunction or divergence-free basis. Risk 3: PINN may converge to trivial solution (zero velocity, linear temperature) if buoyancy is weak. Mitigation: add initial perturbation or use residual boosting. Risk 4: For chaotic regimes (high Ra), PINN may fail to capture temporal dynamics. Mitigation: use separate time windows or recurrent architectures. Risk 5: Missing sidewall conditions cause ambiguity; validate against known Ra-Pr regimes and compare with DNS benchmarks.",5
hard_plus_mhd_divergence_025,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is a two-dimensional resistive magnetohydrodynamics (MHD) system coupling velocity field u(x,y,t) and magnetic field B(x,y,t) via momentum balance (Navier-Stokes with Lorentz force) and magnetic induction (resistive induction equation). The system is governed by: ∂u/∂t + (u·∇)u = -∇p + (1/ρ)(J×B) + ν∇²u, ∂B/∂t = ∇×(u×B) + η∇²B, with J = (1/μ₀)∇×B, and divergence-free constraints ∇·u = 0 and ∇·B = 0. Boundary conditions, initial conditions, domain geometry, and material parameters (density ρ, viscosity ν, resistivity η, permeability μ₀) are not specified. The workflow must enforce the divergence-free constraints to avoid unphysical magnetic monopoles and compressibility errors.",4
hard_plus_mhd_divergence_025,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The primary constraints are: (1) ∇·u = 0 (incompressibility), (2) ∇·B = 0 (solenoidal magnetic field). These must be enforced exactly or as soft penalties. Additional constraints include momentum conservation (including Lorentz force) and magnetic flux conservation. Missing details: domain shape (e.g., rectangular, periodic), boundary conditions (e.g., no-slip, insulating, conducting), initial field profiles, and parameter values. These affect the loss weighting and sampling strategy. For example, periodic boundaries simplify divergence-free enforcement via spectral methods, while Dirichlet boundaries require careful treatment of boundary losses.",4
hard_plus_mhd_divergence_025,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is chosen because it can embed the PDE residuals and divergence constraints directly into the loss function, handling coupled nonlinear equations without grid generation. The model outputs u(x,y,t) and B(x,y,t) simultaneously, with separate neural networks or a shared architecture. To enforce ∇·u=0 and ∇·B=0, we can use a divergence-free basis (e.g., streamfunction for u, vector potential for B) or add penalty terms. For resistive MHD, a fully connected network with residual connections and adaptive activation functions (e.g., Swish) is suitable to capture multiscale dynamics. Fourier feature embeddings or random Fourier features help represent high-frequency spatial variations. The model choice is justified by the need to handle coupled PDEs and avoid divergence errors without mesh generation.",4
hard_plus_mhd_divergence_025,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Training uses a composite loss: L = L_momentum + L_induction + L_div_u + L_div_B + L_IC + L_BC, where each term is the mean squared residual over collocation points. Collocation points are sampled using Latin hypercube or Sobol sequences in the spatiotemporal domain, with adaptive refinement near boundaries or high-gradient regions. Initial conditions are enforced via a separate dataset at t=0. Boundary conditions are enforced via additional points on the domain boundary. Optimization uses Adam with learning rate scheduling, followed by L-BFGS fine-tuning. Gradient clipping and loss balancing (e.g., using adaptive weights like GradNorm or NTK-based scaling) prevent dominance of one term. For divergence constraints, we can use automatic differentiation to compute ∇·u and ∇·B and penalize their squared norms. Alternatively, we can parameterize u via a streamfunction ψ (u = ∇×ψ) and B via a vector potential A (B = ∇×A) to exactly satisfy divergence-free conditions, reducing the loss to momentum and induction residuals only.",4
hard_plus_mhd_divergence_025,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Key risks: (1) Divergence errors: if not strictly enforced, ∇·B ≠ 0 leads to unphysical magnetic monopoles; soft penalties may not be sufficient. (2) Training imbalance: momentum and induction residuals may dominate, causing poor satisfaction of divergence constraints. (3) Boundary condition mismatch: missing or incorrect BCs lead to non-unique solutions. (4) Stiffness: resistive MHD can have fast Alfvén waves and slow diffusion, requiring careful time sampling or causal training. (5) Overfitting to collocation points: insufficient sampling or lack of regularization may cause spurious oscillations. (6) Parameter sensitivity: unknown ρ, ν, η, μ₀ affect solution accuracy; if estimated, uncertainty propagation must be considered. Validation metrics include: PDE residuals on held-out points, divergence norms, conservation of energy/magnetic helicity, and comparison to analytic solutions (e.g., Orszag-Tang vortex) if available.",5
hard_plus_multiscale_darcy_026,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to model Darcy flow in a porous medium with high-contrast heterogeneous permeability fields. The governing PDE is -∇·(K(x)∇u(x)) = f(x) in Ω, with boundary conditions (e.g., Dirichlet or Neumann) and source term f(x) provided. The goal may be to solve a single instance with a specific K(x) or to learn a mapping from K(x) to the pressure field u(x) across a family of K(x). The domain Ω and boundary conditions are not fully specified; assumptions of a bounded Lipschitz domain and standard boundary conditions (e.g., no-flow or prescribed pressure) are needed. The high contrast in K(x) (e.g., several orders of magnitude variation) introduces multiscale features and potential sharp gradients in u.",5
hard_plus_multiscale_darcy_026,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The primary constraint is the Darcy equation: -∇·(K∇u) = f, with given boundary conditions. For a single instance, the solution must satisfy this PDE exactly. For learning across families, the model must respect the PDE for each K(x). Additional constraints include continuity of u and normal flux across internal interfaces if K is discontinuous. The high contrast may cause near-singular behavior, requiring careful treatment of the divergence operator. Missing: exact boundary condition type and geometry; these affect the well-posedness and the loss formulation (e.g., penalty or exact enforcement).",4
hard_plus_multiscale_darcy_026,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"For a single difficult instance with high contrast, domain decomposition (e.g., mortar or multiscale finite element) is appropriate because it can resolve fine-scale features locally. For learning across a family of K(x), a neural operator (e.g., Fourier Neural Operator or DeepONet) is suitable as it learns the solution operator from data or physics-informed loss. A coefficient-aware PINN (e.g., with K(x) as an additional input) can also handle families but may struggle with high contrast due to spectral bias and difficulty in capturing sharp transitions. Domain decomposition is best for single instances; neural operators for many instances; coefficient-aware PINNs are a compromise but risk failure on high contrast unless combined with adaptive sampling or multiscale architectures.",5
hard_plus_multiscale_darcy_026,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"For a single instance with domain decomposition, use a finite element solver with adaptive mesh refinement near high-contrast interfaces. For neural operator training, generate a dataset of K(x) and corresponding u(x) from a traditional solver (e.g., finite volume with upwinding) or use a physics-informed loss: L = ||-∇·(K∇u_θ) - f||^2 + BC loss. Sample collocation points densely in high-contrast regions using importance sampling based on K gradient. Use a multiscale architecture (e.g., Fourier layers with multiple scales) to capture both low and high frequencies. Optimize with Adam then L-BFGS, and use gradient clipping to handle stiff PDE residuals. For coefficient-aware PINN, augment the input with K(x) and use a similar loss, but may require additional regularization (e.g., total variation) to enforce smoothness.",4
hard_plus_multiscale_darcy_026,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Key risks: (1) High contrast leads to large condition numbers in the PDE, causing numerical instability in both traditional solvers and neural network training. (2) Neural operators may fail to generalize to unseen K(x) with different contrast ratios or patterns. (3) PINNs may suffer from spectral bias, failing to resolve fine-scale features unless the network is very deep or uses Fourier features. (4) Domain decomposition may require careful interface handling and may not scale to many instances. (5) Missing boundary condition details can lead to ill-posed problems; validation should test sensitivity to BC assumptions. (6) Overfitting to training K(x) if the family is not diverse. Validation metrics: relative L2 error on pressure, flux continuity across interfaces, and residual norm on a hold-out set of K(x).",4
easy_heat_1d_dirichlet_001,Pro/moonshotai/Kimi-K2.6,Problem Formalization,"The task is to approximate the temperature field u(x,t) governed by the one-dimensional heat equation u_t = alpha * u_xx on a spatial domain (0,L) and time interval (0,T). The thermal diffusivity alpha is known, the initial profile u(x,0)=u_0(x) is provided, and both ends satisfy Dirichlet conditions u(0,t)=g_0(t) and u(L,t)=g_L(t). While the IC, BCs, and diffusivity are specified, the rod length L and final time T are implied geometry/time-horizon parameters that must be explicitly defined to construct the computational domain. The goal is a forward surrogate for u(x,t) over the full space-time cylinder.",5
easy_heat_1d_dirichlet_001,Pro/moonshotai/Kimi-K2.6,Physics Constraints,"The model must satisfy: (1) PDE residual u_t - alpha*u_xx = 0 in the interior; (2) initial condition u(x,0)=u_0(x); (3) Dirichlet boundary conditions u(0,t)=g_0(t) and u(L,t)=g_L(t). A critical unstated condition is compatibility at the space-time corners: if u_0(0) != g_0(0) or u_0(L) != g_L(0), the solution loses initial temporal regularity, producing a singular layer at t=0 that complicates gradient-based training. The maximum principle and energy decay provide physical sanity checks but are not enforced automatically by the network.",5
easy_heat_1d_dirichlet_001,Pro/moonshotai/Kimi-K2.6,Model Choice,"Use a fully-connected Physics-Informed Neural Network (PINN) with tanh activations and 4-6 hidden layers of 32-64 neurons. Tanh is preferred because the heat equation produces smooth solutions without shocks. Hard-enforce the Dirichlet BCs via an output transform, e.g., u_pred(x,t) = (1-x/L)*g_0(t) + (x/L)*g_L(t) + x*(L-x)*NN(x,t), so the network learns only the homogeneous correction and boundary drift is eliminated. If the initial profile contains high-frequency modes, augment the input with Fourier feature embeddings or use a modified MLP with residual connections to mitigate spectral bias.",5
easy_heat_1d_dirichlet_001,Pro/moonshotai/Kimi-K2.6,Training Strategy,"Normalize spatial and temporal inputs to [0,1] to improve conditioning. Sample collocation points via Latin Hypercube Sampling across the interior, with additional density near t=0 and boundaries if steep transients are expected; apply residual-based adaptive refinement (RAR) to re-sample high-loss regions. Define the loss as the mean squared PDE residual plus the MSE of the initial condition (BC loss is removed by the hard transform). Optimize first with Adam (learning rate 1e-3) for 50,000-100,000 iterations, then switch to L-BFGS for high-accuracy convergence. Use adaptive weighting (e.g., NTK-based or GradNorm) to balance the PDE and IC loss terms, especially when alpha is small or the initial transient is sharp. For long time horizons, consider a sequential time-marching or causal weighting scheme to respect temporal causality.",5
easy_heat_1d_dirichlet_001,Pro/moonshotai/Kimi-K2.6,Validation Failure Risks,"Primary risks include: (i) corner incompatibility between IC and BCs causing persistent high residuals and slow convergence near (0,0) and (L,0); (ii) spectral bias preventing accurate representation of high-frequency initial data or thin boundary layers when alpha is small; (iii) causality violations or error accumulation over long time intervals if the network is trained globally without temporal ordering; (iv) insufficient collocation density leading to non-physical interpolatory modes between sample points; and (v) lack of interior observation data means validation relies entirely on PDE residual monitoring and physical consistency checks (e.g., monotonic energy decay, maximum principle), so undetected approximation errors may persist without a reference solution for verification.",5
easy_wave_1d_icbc_002,Pro/moonshotai/Kimi-K2.6,Problem Formalization,"Formulate the task as a forward initial-boundary-value problem for the 1D wave equation u_tt = c^2 u_xx on a spatial domain x in [0, L] and time t in [0, T], with fixed-end Dirichlet conditions u(0,t) = u(L,t) = 0, initial displacement u(x,0) = f(x), and initial velocity u_t(x,0) = g(x). The wave speed c is treated as a known constant. The domain length L and final time T are not specified in the prompt and must be provided to instantiate the computational domain. Damping and external forcing are not mentioned, so the workflow assumes an ideal, homogeneous, lossless string unless additional physics are supplied.",5
easy_wave_1d_icbc_002,Pro/moonshotai/Kimi-K2.6,Physics Constraints,"Enforce the PDE residual u_tt - c^2 u_xx = 0 in the interior, Dirichlet boundaries u = 0 at x = 0 and x = L, and both initial conditions exactly via the loss function. Because c is known, it is fixed rather than learned. The conservative nature of the undamped system implies total mechanical energy E(t) = 0.5 * integral(u_t^2 + c^2 u_x^2) dx should remain constant; this serves as a physics-based validation metric but is not required as an explicit training loss term.",5
easy_wave_1d_icbc_002,Pro/moonshotai/Kimi-K2.6,Model Choice,"Select a Physics-Informed Neural Network (PINN) using a fully connected architecture with Fourier feature embeddings or sinusoidal activations (SIREN). The network maps space-time coordinates (x, t) to scalar displacement u. Fourier-based features are preferred over a standard tanh MLP because string vibrations are oscillatory and contain multiple spatial harmonics; this mitigates spectral bias and improves representation of high-frequency modes. No data-driven encoder or observation network is needed because the problem is a pure forward PDE solve with fully specified coefficients, initial conditions, and boundary conditions.",5
easy_wave_1d_icbc_002,Pro/moonshotai/Kimi-K2.6,Training Strategy,"Minimize a weighted composite loss L = w_pde L_pde + w_bc L_bc + w_ic L_ic + w_vel L_vel. L_pde penalizes squared PDE residuals on interior collocation points; L_bc penalizes squared boundary values at x = 0, L; L_ic and L_vel penalize discrepancies against the provided initial displacement and velocity, respectively. Sample collocation points via Latin Hypercube Sampling or a structured space-time grid, and refine adaptively if residuals concentrate near boundaries or discontinuities. Optimize first with Adam (learning rate ~1e-3) and then switch to L-BFGS to drive residuals down. Use double-precision (float64) for accurate computation of second-order derivatives. Apply adaptive weighting (e.g., NTK balancing or GradNorm) to prevent one loss term from dominating, and consider causal or time-marching training for long T to avoid non-physical future-state leakage.",5
easy_wave_1d_icbc_002,Pro/moonshotai/Kimi-K2.6,Validation Failure Risks,"Primary risks include spectral bias leading to poor capture of high-frequency vibrational modes; imbalanced multi-objective loss causing some constraints (e.g., BCs or ICs) to be satisfied poorly while others are overfit; accumulation of phase and amplitude errors over long time horizons; derivative instability if training is performed in float32; and Gibbs-like artifacts if the initial displacement or velocity is non-smooth (e.g., a plucked string). Additionally, the workflow cannot be executed without explicit values for L, T, and the functional forms of f(x) and g(x).",5
easy_poisson_2d_source_003,Pro/moonshotai/Kimi-K2.6,Problem Formalization,"The objective is to approximate the scalar field u satisfying the two-dimensional Poisson equation ∇²u = f on a rectangular domain Ω = (x_min, x_max) × (y_min, y_max) with Dirichlet boundary conditions u = g on ∂Ω. The source term f and boundary values g are described as known, but their explicit functional forms, the domain side lengths, and coordinate bounds are not specified. Therefore, the workflow must treat f, g, and the rectangle extents as configurable inputs. No interior observation data are indicated, so the problem is a pure physics-informed boundary-value problem.",4
